family,scope,metric,a,b,n,n_nonzero,size_only,p_raw,p_min_attainable,attainable_below_05
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,40,20,False,0.006681913953202974,8.56014e-05,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_dense_enriched,40,18,True,0.2664285829701688,0.000194383,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,40,22,False,0.7698014836092583,3.90311e-05,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,40,19,False,0.0004221527287144085,0.000129164,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,40,12,False,0.9686278814116681,0.00215726,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk200_hybrid_enriched,chunk500_hybrid_enriched,40,18,True,0.6625959372280352,0.000190996,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_dense_enriched,40,20,False,0.0024239535462439216,8.45063e-05,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk500_bm25_enriched,chunk500_hybrid_enriched,40,17,False,0.00028734688212536007,0.000287347,True
Family 3,pooled,mean_reciprocal_rank_at_5,chunk500_dense_enriched,chunk500_hybrid_enriched,40,14,False,0.5718922635979182,0.000975879,True
Family 3,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_dense_enriched,14,6,False,0.10247043485974941,0.0143059,True
Family 3,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk200_hybrid_enriched,14,6,False,0.10247043485974941,0.0143059,True
Family 3,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_bm25_enriched,14,5,True,0.6547208460185769,0.0253473,True
Family 3,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_dense_enriched,14,7,False,0.25683925795785656,0.00815097,True
Family 3,factual,anchor_coverage_at_5,chunk200_bm25_enriched,chunk500_hybrid_enriched,14,5,False,0.17971249487899976,0.0253473,True
Family 3,factual,anchor_coverage_at_5,chunk200_dense_enriched,chunk200_hybrid_enriched,14,0,False,,,
Family 3,factual,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_bm25_enriched,14,5,False,0.025347318677468252,0.0253473,True
Family 3,factual,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_dense_enriched,14,1,True,0.31731050786291415,0.317311,False
Family 3,factual,anchor_coverage_at_5,chunk200_dense_enriched,chunk500_hybrid_enriched,14,1,False,0.31731050786291415,0.317311,False
Family 3,factual,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_bm25_enriched,14,5,False,0.025347318677468252,0.0253473,True
Family 3,factual,anchor_coverage_at_5,chunk200_hybrid_enriched,chunk500_dense_enriched,14,1,False,0.31731050786291415,0.317311,False
